cluster_id,centroid_lat,centroid_lon,nearest_osm_feature,distance_to_osm_m,nearest_osm_lat,nearest_osm_lon,osm_count_within_5km
-1,21.18448,81.07765,Unnamed industrial feature,1939.49,21.1965017,81.0640959,1
-1,21.25194,81.01362,Unnamed industrial feature,3625.72,21.2843848,81.0171043,2
-1,21.33639,80.97034,Unnamed industrial feature,7378.42,21.2872945,81.0182566,0
-1,21.37604,83.07222,Singhal Forestry,7140.13,21.3202503,83.0380851,0
-1,21.37934,83.07166,Singhal Forestry,7433.83,21.3202503,83.0380851,0
-1,21.4341,81.03928,Unnamed industrial feature,16468.57,21.2872945,81.0182566,0
-1,21.43511,81.11007,Unnamed industrial feature,13852.92,21.5259311,81.201713,0
-1,21.43899,81.49917,JK Lakshmi Cement Ltd.,8978.15,21.3728817,81.4493775,0
-1,21.47631,81.18144,Unnamed industrial feature,5902.8,21.5259311,81.201713,0
-1,21.55109,81.13239,Unnamed industrial feature,7696.53,21.5259311,81.201713,0
-1,21.55169,81.351,Durg,8685.44,21.5217377,81.2734464,0
-1,21.56802,81.36744,Tenga Bhaat Daar Gaon,9669.73,21.4932534,81.4151825,0
-1,21.57615,83.3459,Unnamed industrial feature,7612.86,21.5898184,83.4180442,0
-1,21.61525,81.34709,Durg,12888.55,21.5217377,81.2734464,0
-1,21.62381,81.07967,Unnamed industrial feature,16664.7,21.5259311,81.201713,0
-1,21.62442,81.55064,Tenga Bhaat Daar Gaon,20222.77,21.4932534,81.4151825,0
-1,21.66073,81.99972,Unnamed industrial feature,2631.57,21.6429282,81.9829416,1
-1,21.66522,81.33798,Durg,16779.98,21.5385992,81.249682,0
-1,21.67143,81.59209,Unnamed industrial feature,15962.27,21.6509217,81.7449653,0
-1,21.69762,81.99694,Unnamed industrial feature,6251.12,21.6429282,81.9829416,0
-1,21.7189,81.63351,Unnamed industrial feature,13775.29,21.6509217,81.7449653,0
-1,21.72419,81.30414,Durg,21390.68,21.5385992,81.249682,0
-1,21.72904,81.91493,Unnamed industrial feature,11877.17,21.6429282,81.9829416,0
-1,21.73563,81.46109,Tenga Bhaat Daar Gaon,27365.69,21.4932534,81.4151825,0
-1,21.74266,81.26961,Durg,22783.82,21.5385992,81.249682,0
-1,21.75483,81.53869,Unnamed industrial feature,21193.08,21.917973,81.6448483,0
-1,21.7624,81.95471,Unnamed industrial feature,12207.17,21.8706965,81.9740957,0
-1,21.77004,82.0257,Unnamed industrial feature,12395.52,21.8706965,81.9740957,0
-1,21.77264,81.30693,Durg,26688.2,21.5385992,81.249682,0
-1,21.78876,81.21434,Durg,28055.36,21.5385992,81.249682,0
-1,21.79693,81.24406,Durg,28730.95,21.5385992,81.249682,0
-1,21.82599,81.62201,Unnamed industrial feature,10496.04,21.917973,81.6448483,0
-1,21.84807,81.50555,Unnamed industrial feature,16022.11,21.9266021,81.6357431,0
-1,21.88005,81.88039,Unnamed industrial feature,9725.13,21.8706965,81.9740957,0
-1,21.88063,81.8841,Unnamed industrial feature,9351.96,21.8706965,81.9740957,0
-1,21.93298,81.63261,Unnamed industrial feature,779.35,21.9266021,81.6357431,2
-1,21.95553,81.47466,Unnamed industrial feature,16922.78,21.9266021,81.6357431,0
-1,21.97373,81.56775,Unnamed industrial feature,8754.18,21.9266021,81.6357431,0
-1,21.98763,81.82967,Unnamed industrial feature,19583.68,21.9590866,82.0170754,0
-1,22.37125,80.75148,Unnamed industrial feature,8544.9,22.4478083,80.7442919,0
-1,22.41379,80.15102,Unnamed industrial feature,16838.34,22.4080563,80.3147048,0
-1,22.43214,80.17651,Unnamed industrial feature,14455.26,22.4080563,80.3147048,0
518,22.43471142857143,80.15602142857142,Unnamed industrial feature,16578.01,22.4080563,80.3147048,0
-1,22.46086,80.15858,Unnamed industrial feature,16841.62,22.4413273,80.3210931,0
-1,22.50397,80.24949,Unnamed industrial feature,10131.57,22.4413273,80.3210931,0
-1,22.53174,80.71789,Unnamed industrial feature,3815.29,22.56593,80.7147637,1
-1,23.02203,83.28436,Unnamed industrial feature,16693.09,22.9879208,83.4431899,0
-1,23.15545,80.72457,Unnamed industrial feature,4388.16,23.169963,80.6846543,1
-1,23.25552,81.41383,Unnamed industrial feature,5214.45,23.2600905,81.4646295,0
-1,23.31766,80.29955,Unnamed industrial feature,14407.0,23.3707702,80.1708336,0
-1,23.32778,80.29758,Unnamed industrial feature,13794.15,23.3707702,80.1708336,0
-1,23.36861,80.33434,Unnamed industrial feature,16691.32,23.3707702,80.1708336,0
-1,23.37712,80.19047,Unnamed industrial feature,2125.01,23.3707702,80.1708336,3
-1,23.37776,80.28384,Unnamed industrial feature,11560.66,23.3707702,80.1708336,0
-1,23.40061,80.22677,Unnamed industrial feature,6537.83,23.379101,80.1671501,0
-1,23.40821,80.31478,Unnamed industrial feature,15269.33,23.3707702,80.1708336,0
-1,23.41051,80.26556,Unnamed industrial feature,10629.51,23.3707702,80.1708336,0
-1,23.41726,80.26426,Unnamed industrial feature,10780.32,23.379101,80.1671501,0
-1,23.42064,80.2636,Unnamed industrial feature,10872.58,23.379101,80.1671501,0
-1,23.42278,80.94598,Nowrozabad (W),8602.19,23.3470235,80.9630585,0
-1,23.42393,80.15676,Unnamed industrial feature,5096.28,23.379101,80.1671501,0
-1,23.42584,80.29512,Unnamed industrial feature,14055.2,23.379101,80.1671501,0
-1,23.42929,80.16801,Unnamed industrial feature,5260.6,23.476559,80.1658711,0
81,23.430126666666663,80.23687,Unnamed industrial feature,8894.42,23.476559,80.1658711,0
-1,23.43202,80.16339,Unnamed industrial feature,4958.97,23.476559,80.1658711,1
-1,23.4617,80.17399,Unnamed industrial feature,1848.15,23.476559,80.1658711,1
-1,23.46184,80.42983,Unnamed industrial feature,14354.35,23.4735647,80.5699808,0
-1,23.55286,80.57331,Unnamed industrial feature,8502.38,23.4764557,80.5700231,0
-1,23.55911,80.54813,Unnamed industrial feature,9457.93,23.4764557,80.5700231,0
-1,23.58453,80.84856,Unnamed industrial feature,3964.24,23.5589611,80.8214538,1
-1,23.61205,80.59792,Birla White Cement,9270.71,23.6803036,80.6501895,0
-1,23.61422,80.86697,Unnamed industrial feature,7698.65,23.5589611,80.8214538,0
-1,23.62858,80.9351,Unnamed industrial feature,13929.67,23.5589611,80.8214538,0
-1,23.63942,80.59668,Birla White Cement,7097.0,23.6803036,80.6501895,0
-1,23.65454,80.38141,Unnamed industrial feature,6679.19,23.7137944,80.370655,0
-1,23.6838,80.41204,Unnamed industrial feature,4609.6,23.6732488,80.4558152,1
-1,23.72622,80.23854,Unnamed industrial feature,9559.52,23.6429664,80.2619558,0
-1,23.72685,80.76276,Unnamed industrial feature,12246.73,23.6848703,80.6515533,0
-1,23.73735,80.17944,Unnamed industrial feature,11433.69,23.6361454,80.1992995,0
417,23.746412727272727,80.85313818181818,Unnamed industrial feature,14501.46,23.8762432,80.8666169,0
-1,23.75146,80.5953,Unnamed industrial feature,5046.12,23.7272598,80.5533617,0
-1,23.75333,80.60689,Unnamed industrial feature,6171.6,23.7272598,80.5533617,0
-1,23.76273,80.31258,Unnamed industrial feature,7369.0,23.7189464,80.3669268,0
-1,23.80374,80.2235,Shankar Dall Udyog Katni M.P,15938.05,23.7956396,80.3799057,0
-1,23.84018,80.55484,Unnamed industrial feature,12557.05,23.7272598,80.5533617,0
-1,23.84611,80.67709,Unnamed industrial feature,16503.44,23.9074056,80.8249113,0
-1,23.86045,80.53096,Unnamed industrial feature,11701.69,23.8157021,80.4268286,0
-1,23.86615,80.46932,Unnamed industrial feature,7081.23,23.8157021,80.4268286,0
-1,23.86785,80.24725,Unnamed industrial feature,12251.16,23.8662997,80.3677181,0
-1,23.87047,80.34787,Unnamed industrial feature,2070.85,23.8662997,80.3677181,1
-1,23.93227,80.60046,Unnamed industrial feature,11455.3,24.0129427,80.530341,0
-1,23.94323,80.68974,Unnamed industrial feature,9100.72,24.0226777,80.6682193,0
-1,23.94617,80.66537,Unnamed industrial feature,8512.19,24.0226777,80.6682193,0
-1,23.95421,80.71538,Unnamed industrial feature,8995.35,24.0226777,80.6682193,0
-1,23.96519,80.74098,Unnamed industrial feature,9772.22,24.0226777,80.6682193,0
-1,23.99097,80.62947,Unnamed industrial feature,5284.22,24.0226777,80.6682193,0
-1,24.01358,82.59708,Unnamed industrial feature,4948.74,23.9789245,82.6276448,1
-1,24.02016,80.57616,Unnamed industrial feature,4722.46,24.0129427,80.530341,1
-1,24.04193,80.81765,Unnamed industrial feature,4103.26,24.0788121,80.8189594,1
-1,21.34109,81.77632,Unnamed industrial feature,6019.39,21.2870548,81.7728173,0
72,21.576925,82.02252416666666,Unnamed industrial feature,104.43,21.5762571,82.0218141,3
73,21.57450615384615,81.73447384615385,Unnamed industrial feature,2695.26,21.5614719,81.7564487,2
74,21.698744444444444,84.03175481481482,Unnamed industrial feature,213.26,21.6972636,84.0330666,6
-1,21.93671,83.33522,Raigarh Jindal power station,1599.13,21.9255743,83.3450304,4
75,22.00987571428572,83.32781571428572,Unnamed industrial feature,432.93,22.0108781,83.3237578,5
76,22.024102727272727,83.30734181818183,Unnamed industrial feature,531.72,22.0212432,83.3032075,3
77,22.07173,83.34854125,Unnamed industrial feature,1579.81,22.0598514,83.3401307,1
-1,18.87674,82.45637,Unnamed industrial feature,8450.78,18.8810668,82.5365603,0
