cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv
486,9,2026-04-11 07:49:00,2026-04-12 07:30:00,19.47824,80.96222333333334,120646.46675646682,landuse=industrial,1.0,9.0,32.53666666666666,29.202778121267848,0.8975344161848535
487,6,2026-04-10 20:37:00,2026-04-11 20:19:00,19.521923333333334,80.72880166666666,145449.5680225193,landuse=industrial,1.0,6.0,1.515,0.7470408288708188,0.49309625668040846
488,5,2026-04-10 08:07:00,2026-04-11 07:49:00,19.541106,80.978482,122119.81040735832,landuse=industrial,1.0,5.0,15.179999999999998,18.68576195931009,1.2309461106264883
489,10,2026-04-11 07:49:00,2026-04-11 20:19:00,19.551693,80.857953,133992.2036104579,landuse=industrial,1.0,10.0,2.9080000000000004,3.4411328883894554,1.1833331803264975
490,5,2026-04-11 07:49:00,2026-04-11 07:49:00,19.553248,81.07696,113370.4467360211,landuse=industrial,1.0,5.0,12.836000000000002,3.2059444786209252,0.2497619568885108
491,3,2026-04-11 07:49:00,2026-04-11 07:49:00,19.556886666666667,81.07134666666667,114436.0809869154,landuse=industrial,1.0,3.0,10.776666666666666,3.884692179997449,0.360472519022343
492,21,2026-04-10 20:37:00,2026-04-20 08:20:00,19.57208476190476,80.8570319047619,136050.8956040497,landuse=industrial,1.0,21.0,5.778095238095238,5.810172647217653,1.0055515542407345
493,9,2026-04-11 07:49:00,2026-04-12 20:00:00,19.66422888888889,81.0037188888889,126936.5559803854,landuse=industrial,1.0,9.0,4.253333333333334,3.2910104831191282,0.7737485461878827
494,5,2026-04-11 07:49:00,2026-04-22 20:12:00,19.847926,83.556502,156910.7705762735,landuse=industrial,1.0,5.0,3.56,1.9569363811836087,0.549701230669553
495,7,2026-04-11 07:49:00,2026-04-11 20:19:00,19.85244857142857,83.2326742857143,127491.11874792707,landuse=industrial,1.0,7.0,1.7057142857142857,0.2981530447525869,0.1747965924010141
496,6,2026-04-11 07:49:00,2026-05-22 08:21:00,19.85266833333333,80.79519333333333,127413.75033482844,power=plant,1.3666666666666667,4.390243902439025,4.196666666666666,2.2854117061629546,0.54457784896655
497,7,2026-04-11 20:18:00,2026-04-21 08:01:00,19.945197142857143,83.96289,200381.475370366,landuse=industrial,1.0,7.0,1.5557142857142858,1.667821504666663,1.0720615732476253
498,5,2026-04-11 20:18:00,2026-04-29 07:11:00,19.96374,83.94475200000001,199249.0167696202,landuse=industrial,1.0,5.0,3.036,3.083768798078092,1.015734123214128
499,5,2026-04-11 20:18:00,2026-04-12 07:30:00,20.602358,83.871304,133145.31583270148,landuse=industrial,1.0,5.0,2.552,0.9730467614662723,0.3812879159350597
