latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime,x_m,y_m,cluster_id,centroid_lat,centroid_lon,detection_count
21.18517,81.38824,304.69,0.41,0.61,n,2.0NRT,286.57,2.17,N,,2026-07-30 20:57:00,-83194.80964444368,2352985.2422582814,25,21.186994679665737,81.3881225626741,359.0
21.34743,81.66437,312.21,0.42,0.61,n,2.0NRT,287.19,1.86,N,,2026-07-30 20:57:00,-53824.67707166006,2370005.4436503462,30,21.346436751592357,81.66661458598726,157.0
21.37566,81.64246,304.1,0.42,0.61,n,2.0NRT,287.23,2.06,N,,2026-07-30 20:57:00,-55996.69895593065,2373217.6373093664,3,21.37309800925926,81.64323555555556,216.0
21.37869,81.68077,313.2,0.42,0.61,n,2.0NRT,286.99,1.87,N,,2026-07-30 20:57:00,-52001.04847757914,2373418.359121671,2,21.37351172413793,81.6796589367816,348.0
21.48581,81.76941,307.16,0.43,0.62,n,2.0NRT,282.66,0.91,N,,2026-07-30 20:57:00,-42385.57040658081,2385000.511455309,5,21.487758636363637,81.76802333333333,132.0
21.60441,81.8241,302.4,0.43,0.62,n,2.0NRT,287.0,0.69,N,,2026-07-30 20:57:00,-36265.07053699484,2397977.049729159,31,21.605188000000002,81.824009,10.0
21.6228,81.79496,301.17,0.43,0.62,n,2.0NRT,284.46,0.56,N,,2026-07-30 20:57:00,-39221.78569022589,2400119.8295247867,6,21.62271573770492,81.79295803278688,61.0
21.62412,81.79559,301.91,0.43,0.62,n,2.0NRT,285.1,0.92,N,,2026-07-30 20:57:00,-39151.46947558259,2400264.1758723394,6,21.62271573770492,81.79295803278688,61.0
22.03465,83.35381,298.45,0.52,0.67,n,2.0NRT,283.13,2.4,N,,2026-07-30 20:57:00,123544.86626671202,2441160.3303642585,12,22.036385941422594,83.35570451882845,478.0
21.19254,81.38928,332.09,0.39,0.44,n,2.0NRT,293.59,6.48,D,,2026-07-31 08:09:00,-83057.40367048851,2353799.98625335,25,21.186994679665737,81.3881225626741,359.0
21.29959,81.6083,308.64,0.42,0.45,n,2.0NRT,288.41,2.09,N,,2026-07-31 20:40:00,-59839.58264286793,2364892.61575716,0,21.30013488372093,81.60583081395349,86.0
21.37249,81.68642,305.95,0.42,0.46,n,2.0NRT,288.44,3.11,N,,2026-07-31 20:40:00,-51436.81396080996,2372710.0398917627,2,21.37351172413793,81.6796589367816,348.0
