cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,industrial_count_5km,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio
57,46,2025-09-18 20:58:00,2026-05-13 20:18:00,22.01848391304348,82.17913065217391,819.3704705940537,landuse=industrial,4,7.866666666666666,5.8474576271186445,0.9904347826086956,0.3123883375383141,0.3154052573916253,0,46,0.0
58,103,2025-09-24 20:46:00,2026-05-15 19:40:00,21.750060970873783,83.81606980582524,2118.585370346623,landuse=quarry,7,7.733333333333333,13.31896551724138,2.0063106796116505,1.4270351757150084,0.711273278967558,7,96,0.06796116504854369
59,23,2025-09-27 19:49:00,2026-05-15 19:40:00,21.795168260869563,83.98869043478261,586.7401666685546,landuse=industrial,3,7.633333333333334,3.0131004366812224,0.9495652173913044,0.3785195835076623,0.3986241035108165,0,23,0.0
60,51,2025-09-27 19:50:00,2026-05-13 20:18:00,21.71655705882353,84.04197607843136,227.8169394741115,landuse=industrial,7,7.6,6.710526315789474,1.7047058823529415,2.8699681900266256,1.6835562191322506,11,40,0.21568627450980393
61,74,2025-10-15 19:11:00,2026-04-23 19:53:00,21.84184864864865,83.98129081081082,425.30415725087806,landuse=industrial,3,6.333333333333333,11.68421052631579,1.0085135135135137,0.2416194360345994,0.2395797704215511,0,74,0.0
62,137,2025-10-15 20:52:00,2026-05-24 20:12:00,21.750332408759125,83.97448262773722,2497.41567045871,landuse=quarry,2,7.333333333333333,18.681818181818183,2.08934306569343,1.5745527863583255,0.7536114160532792,11,126,0.08029197080291971
63,52,2025-10-16 20:33:00,2026-04-22 20:12:00,22.019103653846155,83.33757769230769,1818.269463288257,landuse=industrial,8,6.233333333333333,8.342245989304812,0.948076923076923,0.32326179799854,0.3409657909923748,0,52,0.0
64,5,2025-10-17 20:15:00,2026-02-12 20:05:00,21.384928,81.68829600000001,1326.347432573908,landuse=industrial,8,3.9,1.2820512820512822,0.6559999999999999,0.1984439467456742,0.302506016380601,0,5,0.0
65,95,2025-10-18 19:56:00,2026-05-23 20:31:00,21.82144831578947,83.99539547368421,387.00928850730486,landuse=industrial,4,7.233333333333333,13.133640552995391,1.191578947368421,0.4268995491728546,0.3582637559312825,0,95,0.0
66,21,2025-10-24 19:43:00,2026-03-03 08:20:00,22.10708904761905,83.52368095238096,284.42341246514115,landuse=industrial,4,4.3,4.883720930232558,0.9728571428571428,0.6387342393918056,0.6565550184644111,1,20,0.047619047619047616
